note_id,title,desc,like_count,collect_count,comment_count,share_count,tags,source_keyword,publish_time
68be9174000000001d01584b,终于带从没出过省的外婆来到了北京,#旅行[话题]##摄影[话题]##记录的意义[话题]##外婆[话题]#,10万+,1.9万,1191,2046,"""\u65c5\u884c,\u6444\u5f71,\u8bb0\u5f55\u7684\u610f\u4e49,\u5916\u5a46""",北京旅游,1757319540000
68385f050000000022036c94,终于轮到我在北京拍这个转场啦✈️,#北京[话题]# #转场[话题]# #旅游转场[话题]# #甜妹[话题]# #氛围感[话题]# #转场天花板[话题]# #氛围感转场[话题]# #旅游转场就这么拍[话题]#,10万+,1.4万,7917,2.5万,"""\u5317\u4eac,\u8f6c\u573a,\u65c5\u6e38\u8f6c\u573a,\u751c\u59b9,\u6c1b\u56f4\u611f,\u8f6c\u573a\u5929\u82b1\u677f,\u6c1b\u56f4\u611f\u8f6c\u573a,\u65c5\u6e38\u8f6c\u573a\u5c31\u8fd9\u4e48\u62cd""",北京旅游,1748524805000
6989dd15000000001d0114a0,北京景点预约攻略,#北京景点预约[话题]# #北京旅游[话题]# #北京[话题]# #北京旅游攻略[话题]# #旅游攻略[话题]# #旅游编辑部[话题]# #旅行推荐官[话题]#,10万+,5.7万,893,4780,"""\u5317\u4eac\u666f\u70b9\u9884\u7ea6,\u5317\u4eac\u65c5\u6e38,\u5317\u4eac,\u5317\u4eac\u65c5\u6e38\u653b\u7565,\u65c5\u6e38\u653b\u7565,\u65c5\u6e38\u7f16\u8f91\u90e8,\u65c5\u884c\u63a8\u8350\u5b98""",北京旅游,1770642709000
6996f5a8000000001b01753d,紫禁城的风水养人,必不会叫你玉减香消#总要来一趟故宫吧[话题]# #一入宫门深似海[话题]# #故宫[话题]# #北京旅游[话题]# #紫禁城[话题]#,8.6万,6068,3648,3313,"""\u603b\u8981\u6765\u4e00\u8d9f\u6545\u5bab\u5427,\u4e00\u5165\u5bab\u95e8\u6df1\u4f3c\u6d77,\u6545\u5bab,\u5317\u4eac\u65c5\u6e38,\u7d2b\u7981\u57ce""",北京旅游,1771500969000
699aa5770000000028008622,🇨🇳我爱北京天安门,"我会唱的第一首中文歌
	
#我爱北京天安门[话题]#
#外国人在北京[话题]#
#新年旅行第一站[话题]#",7.2万,3981,2859,7416,"""\u6211\u7231\u5317\u4eac\u5929\u5b89\u95e8,\u5916\u56fd\u4eba\u5728\u5317\u4eac,\u65b0\u5e74\u65c5\u884c\u7b2c\u4e00\u7ad9""",北京旅游,1771742583000
67efc636000000000f03abc7,颐和园大浪,"颐和园昆明湖里也是看到了海浪🌊以及淡定的🦆激流勇进鸭！
#颐和园[话题]# #北京[话题]# #海浪[话题]# #北方整个浪儿[话题]# #颐和园今日现状[话题]# #北京大风[话题]#",4.7万,4769,5284,2万,"""\u9890\u548c\u56ed,\u5317\u4eac,\u6d77\u6d6a,\u5317\u65b9\u6574\u4e2a\u6d6a\u513f,\u9890\u548c\u56ed\u4eca\u65e5\u73b0\u72b6,\u5317\u4eac\u5927\u98ce""",北京旅游,1743767094000
6948ab45000000000d03bedb,抬头的瞬间！我拍到了苏轼笔下的天上宫阙！,"那天在逛古建博物馆时
看到有人抬头不知道在拍着什么
我顺着他拍的方向看去📷
被这个场景震撼到了🤯
房顶上是一层层的建筑微雕
好像一座天空中的城市🌆
这一刻我终于明白了苏轼笔下的🖊️
天上宫阙！琼楼玉宇！[色色R]
	
📌：北京古代建筑博物馆
⏰：9点-17点（周一会闭馆）
	
#古建筑[话题]# #摄影[话题]# #一分钟摄影故事[话题]# #北京拍照[话题]# #国家级审美[话题]# #永远可以相信老祖宗审美[话题]# #你永远可以相信古人的审美[话题]# #古代建筑美[话题]#",4.1万,7015,911,2987,"""\u53e4\u5efa\u7b51,\u6444\u5f71,\u4e00\u5206\u949f\u6444\u5f71\u6545\u4e8b,\u5317\u4eac\u62cd\u7167,\u56fd\u5bb6\u7ea7\u5ba1\u7f8e,\u6c38\u8fdc\u53ef\u4ee5\u76f8\u4fe1\u8001\u7956\u5b97\u5ba1\u7f8e,\u4f60\u6c38\u8fdc\u53ef\u4ee5\u76f8\u4fe1\u53e4\u4eba\u7684\u5ba1\u7f8e,\u53e4\u4ee3\u5efa\u7b51\u7f8e""",北京旅游,1766370117000
65fec98e000000001202334f,一条视频讲清北京怎么玩｜北京超详细攻略,"🌆来北京旅游一定要提前做好攻略
很多景点需要提前预约
	
❗️❗️去天安门附近一定要带好身份证
避免影响行程
	
❤️第一次来北京 该怎么玩
我们用40万步
总结了一份  北京6日游攻略
	
第一天  故宫 —  景山公园
第二天  天安门升旗—毛主席纪念堂 — 国家博物馆  —  天坛
第三天  圆明园 — 颐和园
第四天  胡同citywalk—鸟巢水立方
第五天  长城
第六天  环球影城
	
📮具体景点明细
	
1⃣️天安门升旗
门票：免门票
开放时间：全天
小程序：天安门广场预约（至少提前一天预约）
	
2⃣️毛主席纪念堂
门票：免门票
开放时间：全天
公众号：毛主席纪念堂（至少提前一天预约）
	
3⃣️故宫
门票：60r
开放时间：8:30 — 17:00
小程序：故宫博物院
最好提前7天开始预约
	
4⃣️国家博物馆
门票：免费
开放时间：8:30 — 17:00
最好提前7天预约 （故宫博物院）
	
5⃣️天坛公园
门票：20r
开放时间6:30 — 22:00
	
6⃣️圆明园
门票：25r（包含西洋楼遗址、全景沙盘模型展）
开放时间：6:00 — 21:00
	
7⃣️颐和园
门票：20r（仅景区大门票）
开放时间：6:30 — 19:00停止入园
	
8⃣️蟠龙山长城
门票：33r
	
#旅游攻略编辑部[话题]##春游记[话题]# #北京旅游攻略[话题]##北京[话题]# #北京环球影城[话题]# #北京故宫[话题]# #颐和园[话题]# #圆明园[话题]# #北京旅行[话题]# #长城[话题]# #天坛[话题]#",3.7万,3.8万,582,1.4万,"""\u65c5\u6e38\u653b\u7565\u7f16\u8f91\u90e8,\u6625\u6e38\u8bb0,\u5317\u4eac\u65c5\u6e38\u653b\u7565,\u5317\u4eac,\u5317\u4eac\u73af\u7403\u5f71\u57ce,\u5317\u4eac\u6545\u5bab,\u9890\u548c\u56ed,\u5706\u660e\u56ed,\u5317\u4eac\u65c5\u884c,\u957f\u57ce,\u5929\u575b""",北京旅游,1711196558000
670f9d0e0000000024019cea,工作人员说皇帝不在了别在这儿跪着,"第一次来中国的意大利朋友
看完繁华的上海
就必须来一趟北京！！！[哇R]
	
第一站就是北京故宫
	
顺便安利了最爱的中国电视剧《甄嬛传》
她还问我在哪里可以看有没有英文字幕哈哈哈 [笑哭R]
	
可是没想到
我为了还原甄嬛传的剧情跪下来的时候
	
马上被工作人员赶走说：
这里没有皇帝了不要在这里跪了 [失望R]
但我也很不好意思
	
我只是一个很喜欢甄嬛传的老外
无意冒犯 [笑哭R][笑哭R]
	
#故宫[话题]# #外国人[话题]# #144小时免签[话题]# #甄嬛传[话题]# #甄学家[话题]# #老外[话题]#  #皇帝[话题]# #我在小红书造热点[话题]# #小红书兴趣夜校[话题]#",3.4万,1666,1807,5049,"""\u6545\u5bab,\u5916\u56fd\u4eba,144\u5c0f\u65f6\u514d\u7b7e,\u7504\u5b1b\u4f20,\u7504\u5b66\u5bb6,\u8001\u5916,\u7687\u5e1d,\u6211\u5728\u5c0f\u7ea2\u4e66\u9020\u70ed\u70b9,\u5c0f\u7ea2\u4e66\u5174\u8da3\u591c\u6821""",北京旅游,1729076494000
687cf64e000000000d0185d2,颐和园🌺,,3.2万,1512,920,775,"""""",北京旅游,1753019982000
